Soal 1,Soal 2,Soal 3,Soal 4,Soal 5,Soal 6,Soal 7,Soal 8,Soal 9 ,Soal 10 ,Hasil
makar,pasif,berbelit-belit,pelari:sepatu,nelayan : ikan,dompet : uang,sebagian pegawai negeri berseragam tapi tidak bersepatu,Semua dokter adalah dokter kandungan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"7, 343",Bukan Bakat Skolastik
makar,pasif,berbelit-belit,pelari:sepatu,Guru : murid,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Semua dokter adalah penggemar lukisan,"Jika tidak berduri, bunga mawar tidak disukai perempuan","5, 243",Bukan Bakat Skolastik
makar,dinamis,berbelit-belit,Pelari:istirahat,pemburu : senapan,dompet : uang,sebagian pegawai negeri bersepatu,Semua dokter adalah dokter kandungan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"1, 325",Bukan Bakat Skolastik
makar,pasif,sederhana,Pelari:istirahat,pemburu : senapan,rokok : asbak,sebagian pegawai negeri bersepatu,Penggemar lukisan pasti dokter kandungan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"1, 325",Bakat Skolastik
makar,pasif,sederhana,pelari:makanan,pemburu : senapan,komputer : disker,sebagian pegawai negeri berseragam dan berdasi,Semua dokter adalah dokter kandungan,"Jika tidak berduri, bunga mawar tidak disukai perempuan","5, 243",Bakat Skolastik
disosiasi,pasif,sederhana,pelari:makanan,pemburu : senapan,dompet : uang,sebagian pegawai negeri bersepatu,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak dapat ditarik kesimpulan,"3, 625",Bakat Skolastik
makar,pasif,ruwet,pelari:makanan,pemburu : senapan,dompet : uang,sebagian pegawai negeri bersepatu,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak dapat ditarik kesimpulan,"5, 243",Bakat Skolastik
makar,pasif,sederhana,pelari:sepatu,pemburu : senapan,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Penggemar lukisan pasti dokter kandungan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"3, 625",Bakat Skolastik
disosiasi,pasif,sederhana,pelari:makanan,pemburu : senapan,dompet : uang,sebagian pegawai negeri berjas,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"3, 625",Bakat Skolastik
kritis,pasif,kompleks,pelari:makanan,pemburu : senapan,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak dapat ditarik kesimpulan,"5, 243",Bakat Skolastik
membangkang,statis,ruwet,Pelari:istirahat,pemburu : senapan,dompet : uang,sebagian pegawai negeri berjas,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,"Jika tidak berduri, bunga mawar tidak disukai perempuan","5, 243",Bukan Bakat Skolastik
membangkang,pasif,sederhana,pelari:sepatu,pemburu : senapan,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"5, 243",Bakat Skolastik
membangkang,kreatif,sederhana,pelari:sepatu,nelayan : ikan,waktu : alroji,sebagian pegawai negeri bersepatu,Semua dokter adalah dokter kandungan,Semua perempuan takut duri,"5, 243",Bukan Bakat Skolastik
disosiasi,pasif,ruwet,Pelari:istirahat,nelayan : ikan,waktu : alroji,sebagian pegawai negeri bersepatu,Semua dokter adalah dokter kandungan,Tidak dapat ditarik kesimpulan,"7, 343",Bukan Bakat Skolastik
membangkang,pasif,sederhana,pelari:lintasan,pemburu : senapan,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"5, 243",Bakat Skolastik
disosiasi,pasif,berbelit-belit,pelari:sepatu,Guru : murid,rokok : asbak,sebagian pegawai negeri berseragam dan berdasi,Penggemar lukisan pasti dokter kandungan,"Jika tidak berduri, bunga mawar tidak disukai perempuan","3, 625",Bukan Bakat Skolastik
makar,pasif,sederhana,pelari:makanan,pemburu : senapan,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Penggemar lukisan pasti dokter kandungan,Semua perempuan takut duri,"3, 625",Bakat Skolastik
membangkang,pasif,berbelit-belit,pelari:lintasan,Penyanyi : kaser,komputer : disker,sebagian pegawai negeri berseragam dan berdasi,Penggemar lukisan pasti dokter kandungan,Tidak dapat ditarik kesimpulan,"5, 243",Bukan Bakat Skolastik
membangkang,statis,berbelit-belit,pelari:sepatu,pemburu : senapan,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"5, 243",Bakat Skolastik
membangkang,pasif,sederhana,pelari:sepatu,Guru : murid,komputer : disker,sebagian pegawai negeri berseragam dan berdasi,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"3, 625",Bakat Skolastik
makar,pasif,sederhana,pelari:lintasan,pemburu : senapan,waktu : alroji,sebagian pegawai negeri berjas,Semua dokter adalah penggemar lukisan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"5, 243",Bakat Skolastik
makar,pasif,kompleks,pelari:makanan,Penyanyi : kaser,komputer : disker,sebagian pegawai negeri bersepatu,Penggemar lukisan pasti dokter kandungan,Semua perempuan takut duri,"5, 243",Bukan Bakat Skolastik
kritis,statis,ruwet,Pelari:istirahat,pemburu : senapan,komputer : disker,sebagian pegawai negeri berseragam dan berdasi,Semua dokter adalah dokter kandungan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"7, 343",Bukan Bakat Skolastik
makar,dinamis,sederhana,pelari:sepatu,pemburu : senapan,dompet : uang,sebagian pegawai negeri bersepatu,Semua dokter adalah dokter kandungan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"1, 325",Bakat Skolastik
makar,pasif,sederhana,pelari:sepatu,pemburu : senapan,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"5, 243",Bakat Skolastik
makar,pasif,sederhana,pelari:makanan,pemburu : senapan,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"3, 625",Bakat Skolastik
membangkang,dinamis,kompleks,pelari:makanan,Penyanyi : kaser,dompet : uang,sebagian pegawai negeri bersepatu,Semua dokter adalah dokter kandungan,"Jika tidak berduri, bunga mawar tidak disukai perempuan","3, 625",Bukan Bakat Skolastik
makar,pasif,sederhana,pelari:sepatu,Penyanyi : kaser,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"3, 625",Bakat Skolastik
makar,pasif,sederhana,pelari:sepatu,Guru : murid,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak dapat ditarik kesimpulan,"3, 625",Bakat Skolastik
membangkang,statis,kompleks,pelari:makanan,nelayan : ikan,komputer : disker,sebagian pegawai negeri berseragam dan berdasi,Semua dokter adalah penggemar lukisan,Semua perempuan takut duri,"3, 625",Bukan Bakat Skolastik
membangkang,statis,kompleks,pelari:makanan,Penyanyi : kaser,waktu : alroji,sebagian pegawai negeri bersepatu,Semua dokter adalah penggemar lukisan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"3, 625",Bukan Bakat Skolastik
makar,pasif,sederhana,pelari:lintasan,pemburu : senapan,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"3, 625",Bakat Skolastik
membangkang,dinamis,kompleks,pelari:makanan,pemburu : senapan,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Semua dokter adalah dokter kandungan,Tidak dapat ditarik kesimpulan,"3, 625",Bakat Skolastik
disosiasi,kreatif,sederhana,Pelari:istirahat,nelayan : ikan,dompet : uang,sebagian pegawai negeri berseragam tapi tidak bersepatu,Semua dokter adalah dokter kandungan,Semua perempuan takut duri,"5, 243",Bukan Bakat Skolastik
makar,pasif,sederhana,pelari:makanan,pemburu : senapan,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,"Jika tidak berduri, bunga mawar tidak disukai perempuan","3, 625",Bakat Skolastik
kritis,pasif,sederhana,pelari:sepatu,pemburu : senapan,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"3, 625",Bakat Skolastik
makar,pasif,sederhana,pelari:makanan,pemburu : senapan,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak dapat ditarik kesimpulan,"3, 625",Bakat Skolastik
membangkang,pasif,sederhana,pelari:makanan,pemburu : senapan,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak dapat ditarik kesimpulan,"3, 625",Bakat Skolastik
membangkang,pasif,sederhana,pelari:makanan,pemburu : senapan,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak dapat ditarik kesimpulan,"3, 625",Bakat Skolastik
makar,pasif,sederhana,pelari:makanan,nelayan : ikan,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"7, 343",Bakat Skolastik
makar,pasif,sederhana,pelari:makanan,pemburu : senapan,dompet : uang,sebagian pegawai negeri berseragam dan berdasi,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak dapat ditarik kesimpulan,"3, 625",Bakat Skolastik
membangkang,pasif,sederhana,pelari:makanan,pemburu : senapan,dompet : uang,sebagian pegawai negeri berseragam tapi tidak bersepatu,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan,Tidak ada bunga mawar yang disukai perempuan yang tidak berduri,"3, 625",Bakat Skolastik
membangkang,pasif,kompleks,pelari:makanan,nelayan : ikan,komputer : disker,sebagian pegawai negeri berseragam dan berdasi,Penggemar lukisan pasti dokter kandungan,Tidak dapat ditarik kesimpulan,"5, 243",Bukan Bakat Skolastik
