Soal 1 ,Soal 2,Soal 3,Soal 4,Soal 5,Soal 6 ,Soal 7,Soal 8,Soal 9 ,Soal 10 ,Hasil
A,B,A,C,B,A,A,D,C,B,Bukan Bakat Spasial
A,A,A,A,A,D,D,B,A,B,Bukan Bakat Spasial
A,A,A,A,A,A,A,A,A,A,Bukan Bakat Spasial
C,A,B,A,A,B,B,B,C,B,Bukan Bakat Spasial
C,D,B,B,B,C,C,D,C,B,Bakat Spasial
C,D,B,C,B,C,A,B,C,C,Bakat Spasial
C,D,B,D,B,C,A,D,C,C,Bakat Spasial
C,D,B,B,A,C,A,D,C,C,Bakat Spasial
B,D,B,D,B,B,D,A,B,B,Bukan Bakat Spasial
C,C,B,B,B,C,A,B,A,A,Bakat Spasial
B,C,A,D,B,A,A,A,D,B,Bukan Bakat Spasial
C,B,B,A,C,C,A,B,C,C,Bakat Spasial
C,C,B,B,A,B,B,A,C,B,Bukan Bakat Spasial
C,A,B,D,B,C,A,B,C,B,Bakat Spasial
D,C,B,A,B,C,A,B,C,C,Bakat Spasial
A,A,B,B,B,D,A,B,C,B,Bakat Spasial
C,C,B,C,B,D,A,B,C,B,Bakat Spasial
B,D,C,D,C,B,C,B,C,C,Bakat Spasial
D,B,A,B,C,B,B,B,A,B,Bukan Bakat Spasial
C,A,B,C,C,B,C,B,C,B,Bakat Spasial
C,C,B,B,B,A,A,B,C,D,Bakat Spasial
A,A,C,A,D,A,A,A,A,A,Bukan Bakat Spasial
B,C,D,A,B,D,B,D,D,B,Bukan Bakat Spasial
A,A,A,A,A,A,A,A,A,A,Bukan Bakat Spasial
C,C,B,D,D,A,A,B,C,B,Bakat Spasial
B,A,B,A,B,D,B,A,A,B,Bukan Bakat Spasial
A,A,A,A,A,A,B,C,A,B,Bukan Bakat Spasial
D,D,B,C,B,B,C,B,B,B,Bukan Bakat Spasial
C,B,A,D,D,C,A,D,C,B,Bakat Spasial
B,D,B,D,A,D,B,A,C,B,Bukan Bakat Spasial
A,B,C,B,B,B,B,B,B,C,Bukan Bakat Spasial
C,D,B,D,B,A,D,D,C,C,Bakat Spasial
A,B,A,A,A,A,A,D,C,B,Bukan Bakat Spasial
C,A,C,C,A,D,B,A,A,B,Bukan Bakat Spasial
C,D,B,D,B,C,A,B,C,C,Bakat Spasial
C,D,B,D,B,D,A,B,C,C,Bakat Spasial
C,C,C,D,B,C,A,D,C,A,Bakat Spasial
C,D,B,D,B,C,A,B,C,C,Bakat Spasial
C,D,B,C,B,C,A,B,C,C,Bakat Spasial
A,C,D,C,D,D,C,B,C,B,Bukan Bakat Spasial
C,C,B,C,D,C,A,D,C,C,Bakat Spasial
C,D,B,D,B,C,A,D,C,C,Bakat Spasial
B,D,B,D,A,B,C,A,D,C,Bukan Bakat Spasial
A,A,A,B,D,A,B,A,A,B,Bukan Bakat Spasial
C,A,A,C,A,A,A,A,A,B,Bukan Bakat Spasial
C,D,B,B,B,C,D,B,C,C,Bakat Spasial
C,D,B,D,B,C,A,D,C,C,Bakat Spasial
D,D,B,D,B,A,A,B,C,C,Bakat Spasial
A,B,A,B,B,B,A,C,B,A,
